line,group_id
comauto,353
comauto,388
comauto,620
comauto,671
comauto,715
comauto,833
comauto,1066
comauto,1090
comauto,1538
comauto,1767
comauto,2135
comauto,2143
comauto,2208
comauto,2623
comauto,2712
comauto,3240
comauto,3492
comauto,4839
comauto,5185
comauto,6408
comauto,6459
comauto,6947
comauto,7080
comauto,8079
comauto,8427
comauto,8672
comauto,9466
comauto,10022
comauto,10308
comauto,11037
comauto,11118
comauto,13420
comauto,13439
comauto,13528
comauto,13641
comauto,13889
comauto,14044
comauto,14176
comauto,14257
comauto,14311
comauto,14320
comauto,14508
comauto,14974
comauto,15024
comauto,15199
comauto,18163
comauto,18767
comauto,18791
comauto,19020
comauto,19780
ppauto,43
ppauto,353
ppauto,388
ppauto,620
ppauto,692
ppauto,715
ppauto,1066
ppauto,1090
ppauto,1538
ppauto,1767
ppauto,2003
ppauto,2143
ppauto,3240
ppauto,4839
ppauto,5185
ppauto,6807
ppauto,6947
ppauto,7080
ppauto,8427
ppauto,8559
ppauto,10022
ppauto,13420
ppauto,13439
ppauto,13501
ppauto,13528
ppauto,13587
ppauto,13595
ppauto,13641
ppauto,13889
ppauto,14044
ppauto,14176
ppauto,14257
ppauto,14311
ppauto,14443
ppauto,15024
ppauto,15199
ppauto,15393
ppauto,15660
ppauto,15997
ppauto,16373
ppauto,16799
ppauto,18163
ppauto,18791
ppauto,23574
ppauto,23876
ppauto,25275
ppauto,26808
ppauto,27022
ppauto,27065
ppauto,27499
wkcomp,86
wkcomp,337
wkcomp,353
wkcomp,388
wkcomp,671
wkcomp,715
wkcomp,965
wkcomp,1066
wkcomp,1252
wkcomp,1538
wkcomp,1767
wkcomp,2135
wkcomp,2712
wkcomp,3034
wkcomp,3240
wkcomp,5185
wkcomp,6408
wkcomp,6807
wkcomp,7080
wkcomp,8559
wkcomp,8672
wkcomp,9466
wkcomp,10385
wkcomp,10699
wkcomp,11126
wkcomp,11347
wkcomp,11703
wkcomp,13439
wkcomp,13501
wkcomp,13528
wkcomp,14176
wkcomp,14320
wkcomp,14508
wkcomp,14974
wkcomp,15148
wkcomp,15199
wkcomp,15334
wkcomp,18309
wkcomp,18767
wkcomp,18791
wkcomp,21172
wkcomp,23108
wkcomp,23140
wkcomp,26433
wkcomp,27529
wkcomp,30589
wkcomp,34576
wkcomp,37370
wkcomp,38687
wkcomp,38733
othliab,620
othliab,671
othliab,683
othliab,715
othliab,833
othliab,1252
othliab,1279
othliab,1538
othliab,1767
othliab,2003
othliab,2135
othliab,2143
othliab,2208
othliab,3000
othliab,3240
othliab,5185
othliab,5320
othliab,6459
othliab,6947
othliab,7625
othliab,10657
othliab,11126
othliab,11150
othliab,11231
othliab,13439
othliab,13501
othliab,13668
othliab,13919
othliab,13994
othliab,14044
othliab,14176
othliab,14257
othliab,14370
othliab,14451
othliab,14885
othliab,15113
othliab,15148
othliab,15210
othliab,15571
othliab,16373
othliab,16799
othliab,18163
othliab,18686
othliab,26797
othliab,27065
othliab,28550
othliab,30139
othliab,30651
othliab,32875
othliab,34606
